4747, none, minecraft:the_void, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4748, none, minecraft:the_void, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
4749, none, minecraft:the_void, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4750, none, minecraft:the_void, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
4751, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4752, none, minecraft:the_void, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4753, none, minecraft:the_void, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
4754, none, minecraft:the_void, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
4755, none, minecraft:the_void, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
4756, none, minecraft:the_void, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
4757, none, minecraft:the_void, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
4758, plains, minecraft:plains, MONSTER, minecraft:spider, 50, 4, 4
4759, plains, minecraft:plains, MONSTER, minecraft:zombie, 50, 4, 4
4760, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
4761, plains, minecraft:plains, MONSTER, minecraft:skeleton, 50, 4, 4
4762, plains, minecraft:plains, MONSTER, minecraft:creeper, 50, 4, 4
4763, plains, minecraft:plains, MONSTER, minecraft:slime, 50, 4, 4
4764, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
4765, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
4766, plains, minecraft:plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4767, plains, minecraft:plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4768, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
4769, plains, minecraft:plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
4770, plains, minecraft:plains, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
4771, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 15, 1, 1
4772, plains, minecraft:plains, MONSTER, quark:toretoise, 50, 2, 4
4773, plains, minecraft:plains, MONSTER, quark:stoneling, 50, 1, 1
4774, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
4775, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
4776, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
4777, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
4778, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
4779, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
4780, plains, minecraft:plains, CREATURE, earthmobsmod:fancy_chicken, 10, 3, 6
4781, plains, minecraft:plains, CREATURE, earthmobsmod:duck, 10, 3, 6
4782, plains, minecraft:plains, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
4783, plains, minecraft:plains, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
4784, plains, minecraft:plains, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
4785, plains, minecraft:plains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
4786, plains, minecraft:plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4787, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
4788, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
4789, plains, minecraft:plains, CREATURE, alexsmobs:bison, 14, 6, 10
4790, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
4791, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
4792, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4793, plains, minecraft:plains, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
4794, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4795, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
4796, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4797, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4798, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
4799, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
4800, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
4801, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
4802, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
4803, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
4804, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 50, 4, 4
4805, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 50, 4, 4
4806, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
